Goal Size,Average SARSA Grid Score
1,-0.17209006047460934
10,-0.2786132277932555
20,-0.06920442359311485
30,-0.14582904750191755
35,-0.20950510022248184
40,-0.2
45,-0.11362689733700208
50,-0.2886197514673375
55,-0.3057109143321082
60,-0.6061565395289659
65,-0.45106025728762267
70,-0.4435663055058178
75,-0.16295398683199802
80,-0.12479538242770989
85,-0.11127932297302938
90,-0.10553612809277316
95,-0.334597755351271
100,-0.26061764497770407
