Goal Size,WVF Grid Score
1,-0.2961009812185189
10,-0.050033083671529144
20,-0.16990363234021685
30,-0.4649824156052608
35,-0.6773321863077223
40,-0.23782726017403244
45,-0.5013141838659381
50,-0.26272732571831076
55,-0.08075843537799872
60,-0.4858989326246296
65,0.14645334872252086
70,-0.16726353201284094
75,-0.30470165032809365
80,0.016801347097973814
85,-0.46377258975765223
90,-0.18958369014931795
95,-0.012896968027051897
100,-0.5321076724337598
